City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,tutong,4.8,114.65,30.05,70,22,1.96,BN,1721525913
141,novyy urgal,51.0736,132.5642,26.5,55,34,1.07,RU,1721525914
142,mutsu,41.2894,141.2169,28.91,60,74,4.17,JP,1721525915
143,guymon,36.6828,-101.4816,28.0,51,0,6.17,US,1721525916
144,uturoa,-16.7333,-151.4333,24.33,67,64,11.25,PF,1721525917
145,sulphur springs,33.1385,-95.6011,27.97,57,0,1.54,US,1721525918
146,san pedro pochutla,15.7333,-96.4667,27.62,91,100,1.31,MX,1721525920
147,aral,40.5156,81.2636,29.87,30,69,1.09,CN,1721525921
148,porto novo,6.4965,2.6036,25.9,89,91,4.58,BJ,1721525922
149,codrington,-38.2667,141.9667,13.53,78,100,7.56,AU,1721525923
150,hola,51.5377,23.1902,15.1,65,100,1.62,PL,1721525924
151,sao joao da barra,-21.6403,-41.0511,18.82,82,3,3.5,BR,1721525925
152,utrik,11.2278,169.8474,27.79,82,15,7.94,MH,1721525926
153,bikenibeu village,1.3673,173.1241,31.98,70,20,6.69,KI,1721525928
154,coronel suarez,-37.4547,-61.9334,5.13,64,100,0.98,AR,1721525929
155,murun-kuren,49.6342,100.1625,15.22,95,100,2.23,MN,1721525930
156,hadim,36.9878,32.4567,14.56,50,0,2.02,TR,1721525931
157,dudinka,69.4058,86.1778,10.91,51,6,7.46,RU,1721525932
158,kodiak,57.79,-152.4072,15.73,77,100,5.14,US,1721525933
159,kandahar,31.0,65.75,27.19,25,100,3.49,AF,1721525935
160,nyaunglebin,17.95,96.7333,24.76,94,100,2.26,MM,1721525936
161,mhamid,29.82,-5.72,32.54,21,47,0.66,MA,1721525937
162,mumbwa,-14.9783,27.0619,14.77,38,0,2.1,ZM,1721525938
163,siguiri,11.6667,-9.5,23.69,93,100,1.21,GN,1721525939
164,zaozersk,69.4005,32.4476,15.9,74,69,1.02,RU,1721525940
165,shimoda,34.6667,138.95,32.28,73,94,2.8,JP,1721525941
166,progreso,21.2833,-89.6667,24.5,79,94,6.29,MX,1721525943
167,chinde,26.8212,87.7095,26.98,82,100,1.22,NP,1721525944
168,puerto deseado,-47.7503,-65.8938,4.84,71,0,5.96,AR,1721525945
169,manicore,-5.8092,-61.3003,24.62,46,1,1.22,BR,1721525946
170,chiang klang,19.2938,100.8617,24.91,99,100,0.92,TH,1721525947
171,talnakh,69.4865,88.3972,10.8,54,65,8.02,RU,1721525948
172,lorengau,-2.0226,147.2712,28.37,83,42,6.72,PG,1721525950
173,puerto ayora,-0.7393,-90.3518,21.42,91,96,3.13,EC,1721525951
174,port elizabeth,-33.918,25.5701,10.16,81,0,4.63,ZA,1721525952
175,thunder bay,48.4001,-89.3168,20.99,68,75,3.09,CA,1721525953
176,susuman,62.7833,148.1667,10.73,90,100,1.81,RU,1721525954
177,batticaloa,7.7102,81.6924,28.09,56,78,2.21,LK,1721525955
178,mejit,10.2753,170.8646,28.28,78,21,6.62,MH,1721525957
179,teknaf,20.8624,92.3058,27.53,89,100,6.52,BD,1721525958
180,tiksi,71.6872,128.8694,7.77,61,84,4.49,RU,1721525959
181,nouadhibou,20.931,-17.0347,24.99,69,82,9.77,MR,1721525960
182,igbeti,8.75,4.1333,21.52,95,100,4.57,NG,1721525961
183,saipan,15.1355,145.701,29.39,79,75,4.12,MP,1721525962
184,tadine,-21.55,167.8833,22.6,60,10,2.71,NC,1721525963
185,malango,-2.9627,119.9001,24.92,72,65,1.61,ID,1721525965
186,abadeh,31.1608,52.6506,23.25,21,0,2.63,IR,1721525966
187,sinabang,2.4803,96.3801,29.19,72,100,2.39,ID,1721525967
188,polyarnyy,69.1989,33.4478,15.29,64,77,2.57,RU,1721525968
189,carrigaline,51.8117,-8.3986,11.86,87,75,3.09,IE,1721525969
190,ancud,-41.8697,-73.8203,5.75,85,15,0.85,CL,1721525970
191,panaba,21.2833,-88.2667,26.47,83,100,5.0,MX,1721525972
192,albany,42.6001,-73.9662,22.04,71,100,2.1,US,1721525732
193,kani keli,-12.9536,45.1033,19.59,61,5,4.03,YT,1721525974
194,uzgen,40.7699,73.3007,23.16,28,0,1.22,KG,1721525975
195,nijar,36.9665,-2.206,21.8,83,0,1.54,ES,1721525976
196,nar'yan-mar,67.6713,53.087,8.61,65,9,1.09,RU,1721525977
197,ulladulla,-35.35,150.4667,16.07,41,0,4.29,AU,1721525978
198,vallenar,-28.5708,-70.7581,8.11,77,100,2.6,CL,1721525980
199,saint-denis,48.9167,2.3333,20.77,94,75,5.14,FR,1721525981
200,ust-nera,64.5667,143.2,13.04,96,100,2.27,RU,1721525982
201,sao vicente,-23.9631,-46.3919,18.1,62,12,1.34,BR,1721525983
202,afaahiti,-17.75,-149.2833,24.93,61,92,10.94,PF,1721525984
203,tamanrasset,22.785,5.5228,28.95,30,5,2.57,DZ,1721525985
204,pipar,26.3856,73.5378,31.1,67,18,3.74,IN,1721525987
205,vilyuchinsk,52.9306,158.4028,21.15,85,100,2.1,RU,1721525988
206,likasi,-10.9814,26.7333,14.17,47,1,1.87,CD,1721525989
207,gandajika,-6.75,23.95,20.71,29,0,1.95,CD,1721525991
208,karatau,43.1667,70.4667,26.65,30,0,1.8,KZ,1721525992
209,pisco,-13.7,-76.2167,16.03,82,0,5.66,PE,1721525994
210,geraldton,-28.7667,114.6,12.23,76,0,6.17,AU,1721525995
211,port alberni,49.2413,-124.8028,30.52,43,16,4.92,CA,1721525996
212,magnitka,55.3475,59.6961,14.43,94,95,0.69,RU,1721525997
213,itoman,26.1247,127.6694,33.01,64,40,4.12,JP,1721525998
214,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,56,20,5.0,RU,1721525999
215,rawson,-43.3002,-65.1023,8.13,46,59,5.24,AR,1721526000
216,haiku-pauwela,20.9219,-156.3051,29.01,71,76,3.58,US,1721526003
217,ixtapa,20.7,-105.2,30.57,74,75,6.17,MX,1721526004
218,livramento do brumado,-13.6431,-41.8406,19.31,82,63,1.32,BR,1721526005
219,aasiaat,68.7098,-52.8699,4.15,91,99,2.42,GL,1721526006
220,la palma del condado,37.3861,-6.5523,25.21,63,0,4.14,ES,1721526007
221,christchurch,-43.5333,172.6333,11.49,77,100,9.39,NZ,1721526009
222,kingston,17.997,-76.7936,29.53,74,20,8.23,JM,1721526011
223,hartford city,40.4511,-85.37,20.5,82,71,2.88,US,1721526012
